1010 101 10 100
L_KFE_des_th L_KFE_des_thd L_KFE_des_thdd L_KFE_uff L_KFE_vff L_HFE_des_th L_HFE_des_thd L_HFE_des_thdd L_HFE_uff L_HFE_vff
1.452817 -1.887108 -6.826092 18.486016 -197.928555 1.000000 0.000000 0.000000 50.000000 0.000000
1.433263 -1.955369 -6.578712 18.129286 -198.146642 1.000000 0.000000 0.000000 50.000000 0.000000
1.413052 -2.021156 -6.313188 17.770376 -198.383496 1.000000 0.000000 0.000000 50.000000 0.000000
1.392209 -2.084288 -6.030528 17.409097 -198.633822 1.000000 0.000000 0.000000 50.000000 0.000000
1.370763 -2.144593 -5.731740 17.045315 -198.892638 1.000000 0.000000 0.000000 50.000000 0.000000
1.348744 -2.201910 -5.417832 16.678945 -199.155273 1.000000 0.000000 0.000000 50.000000 0.000000
1.326183 -2.256089 -5.089812 16.309948 -199.417366 1.000000 0.000000 0.000000 50.000000 0.000000
1.303113 -2.306987 -4.748688 15.938331 -199.674869 1.000000 0.000000 0.000000 50.000000 0.000000
1.279568 -2.354474 -4.395468 15.564138 -199.924045 1.000000 0.000000 0.000000 50.000000 0.000000
1.255584 -2.398428 -4.031160 15.187454 -200.161468 1.000000 0.000000 0.000000 50.000000 0.000000
1.231197 -2.438740 -3.656772 14.808395 -200.384025 1.000000 0.000000 0.000000 50.000000 0.000000
1.206444 -2.475308 -3.273312 14.427111 -200.588912 1.000000 0.000000 0.000000 50.000000 0.000000
1.181363 -2.508041 -2.881788 14.043778 -200.773637 1.000000 0.000000 0.000000 50.000000 0.000000
1.155995 -2.536859 -2.483208 13.658598 -200.936022 1.000000 0.000000 0.000000 50.000000 0.000000
1.130378 -2.561691 -2.078580 13.271794 -201.074198 1.000000 0.000000 0.000000 50.000000 0.000000
1.104553 -2.582476 -1.668912 12.883608 -201.186607 1.000000 0.000000 0.000000 50.000000 0.000000
1.078561 -2.599166 -1.255212 12.494298 -201.272003 1.000000 0.000000 0.000000 50.000000 0.000000
1.052444 -2.611718 -0.838488 12.104134 -201.329453 1.000000 0.000000 0.000000 50.000000 0.000000
1.026243 -2.620103 -0.419748 11.713396 -201.358334 1.000000 0.000000 0.000000 50.000000 0.000000
1.000000 -2.624300 0.000000 11.322368 -201.358334 1.000000 0.000000 0.000000 50.000000 0.000000
0.973757 -2.624300 0.419748 10.931341 -201.329453 1.000000 0.000000 0.000000 50.000000 0.000000
0.947556 -2.620103 0.838488 10.540603 -201.272003 1.000000 0.000000 0.000000 50.000000 0.000000
0.921439 -2.611718 1.255212 10.150439 -201.186607 1.000000 0.000000 0.000000 50.000000 0.000000
0.895447 -2.599166 1.668912 9.761129 -201.074198 1.000000 0.000000 0.000000 50.000000 0.000000
0.869622 -2.582476 2.078580 9.372943 -200.936022 1.000000 0.000000 0.000000 50.000000 0.000000
0.844005 -2.561691 2.483208 8.986139 -200.773637 1.000000 0.000000 0.000000 50.000000 0.000000
0.818637 -2.536859 2.881788 8.600959 -200.588912 1.000000 0.000000 0.000000 50.000000 0.000000
0.793556 -2.508041 3.273312 8.217626 -200.384025 1.000000 0.000000 0.000000 50.000000 0.000000
0.768803 -2.475308 3.656772 7.836342 -200.161468 1.000000 0.000000 0.000000 50.000000 0.000000
0.744416 -2.438740 4.031160 7.457283 -199.924045 1.000000 0.000000 0.000000 50.000000 0.000000
0.720432 -2.398428 4.395468 7.080599 -199.674869 1.000000 0.000000 0.000000 50.000000 0.000000
0.696887 -2.354474 4.748688 6.706406 -199.417366 1.000000 0.000000 0.000000 50.000000 0.000000
0.673817 -2.306987 5.089812 6.334789 -199.155273 1.000000 0.000000 0.000000 50.000000 0.000000
0.651256 -2.256089 5.417832 5.965792 -198.892638 1.000000 0.000000 0.000000 50.000000 0.000000
0.629237 -2.201910 5.731740 5.599422 -198.633822 1.000000 0.000000 0.000000 50.000000 0.000000
0.607791 -2.144593 6.030528 5.235640 -198.383496 1.000000 0.000000 0.000000 50.000000 0.000000
0.586948 -2.084288 6.313188 4.874361 -198.146642 1.000000 0.000000 0.000000 50.000000 0.000000
0.566737 -2.021156 6.578712 4.515451 -197.928555 1.000000 0.000000 0.000000 50.000000 0.000000
0.547183 -1.955369 6.826092 4.158721 -197.734840 1.000000 0.000000 0.000000 50.000000 0.000000
0.528312 -1.887108 7.054320 3.803929 -197.571414 1.000000 0.000000 0.000000 50.000000 0.000000
0.510146 -1.816564 7.262388 3.450771 -197.444505 1.000000 0.000000 0.000000 50.000000 0.000000
0.492707 -1.743941 7.449288 3.098882 -197.360654 1.000000 0.000000 0.000000 50.000000 0.000000
0.476012 -1.669448 7.614012 2.747832 -197.326712 1.000000 0.000000 0.000000 50.000000 0.000000
0.460079 -1.593308 7.755552 2.397121 -197.349841 1.000000 0.000000 0.000000 50.000000 0.000000
0.444922 -1.515752 7.872900 2.046178 -197.437515 1.000000 0.000000 0.000000 50.000000 0.000000
0.430552 -1.437023 7.965048 1.694359 -197.597521 1.000000 0.000000 0.000000 50.000000 0.000000
0.416978 -1.357373 8.030988 1.340940 -197.837954 1.000000 0.000000 0.000000 50.000000 0.000000
0.404207 -1.277063 8.069712 0.985117 -198.167224 1.000000 0.000000 0.000000 50.000000 0.000000
0.392244 -1.196366 8.080212 0.626001 -198.594049 1.000000 0.000000 0.000000 50.000000 0.000000
0.381088 -1.115563 8.061480 0.262616 -199.127462 1.000000 0.000000 0.000000 50.000000 0.000000
0.370739 -1.034949 8.012508 -0.106102 -199.776805 1.000000 0.000000 0.000000 50.000000 0.000000
0.361190 -0.954824 7.932288 -0.481314 -200.551731 1.000000 0.000000 0.000000 50.000000 0.000000
0.352435 -0.875501 7.819812 -0.864275 -201.462207 1.000000 0.000000 0.000000 50.000000 0.000000
0.344462 -0.797303 7.674072 -1.256341 -202.518510 1.000000 0.000000 0.000000 50.000000 0.000000
0.337257 -0.720562 7.494060 -1.658970 -203.731226 1.000000 0.000000 0.000000 50.000000 0.000000
