1010 101 10 100
L_KFE_des_th L_KFE_des_thd L_KFE_des_thdd L_KFE_uff L_KFE_vff L_HFE_des_th L_HFE_des_thd L_HFE_des_thdd L_HFE_uff L_HFE_vff
1.279568 2.398428 -4.395468 15.564138 37.419255 1.000000 0.000000 0.000000 50.000000 0.000000
1.303113 2.354474 -4.748688 15.938331 37.161752 1.000000 0.000000 0.000000 50.000000 0.000000
1.326183 2.306987 -5.089812 16.309948 36.899660 1.000000 0.000000 0.000000 50.000000 0.000000
1.348744 2.256089 -5.417832 16.678945 36.637025 1.000000 0.000000 0.000000 50.000000 0.000000
1.370763 2.201910 -5.731740 17.045315 36.378209 1.000000 0.000000 0.000000 50.000000 0.000000
1.392209 2.144593 -6.030528 17.409097 36.127883 1.000000 0.000000 0.000000 50.000000 0.000000
1.413052 2.084288 -6.313188 17.770376 35.891029 1.000000 0.000000 0.000000 50.000000 0.000000
1.433263 2.021156 -6.578712 18.129286 35.672941 1.000000 0.000000 0.000000 50.000000 0.000000
1.452817 1.955369 -6.826092 18.486016 35.479226 1.000000 0.000000 0.000000 50.000000 0.000000
1.471688 1.887108 -7.054320 18.840808 35.315800 1.000000 0.000000 0.000000 50.000000 0.000000
1.489854 1.816564 -7.262388 19.193966 35.188892 1.000000 0.000000 0.000000 50.000000 0.000000
1.507293 1.743941 -7.449288 19.545855 35.105041 1.000000 0.000000 0.000000 50.000000 0.000000
1.523988 1.669448 -7.614012 19.896905 35.071099 1.000000 0.000000 0.000000 50.000000 0.000000
1.539921 1.593308 -7.755552 20.247616 35.094228 1.000000 0.000000 0.000000 50.000000 0.000000
1.555078 1.515752 -7.872900 20.598558 35.181902 1.000000 0.000000 0.000000 50.000000 0.000000
1.569448 1.437023 -7.965048 20.950377 35.341908 1.000000 0.000000 0.000000 50.000000 0.000000
1.583022 1.357373 -8.030988 21.303796 35.582341 1.000000 0.000000 0.000000 50.000000 0.000000
1.595793 1.277063 -8.069712 21.659620 35.911610 1.000000 0.000000 0.000000 50.000000 0.000000
1.607756 1.196366 -8.080212 22.018736 36.338436 1.000000 0.000000 0.000000 50.000000 0.000000
1.618912 1.115563 -8.061480 22.382120 36.871849 1.000000 0.000000 0.000000 50.000000 0.000000
1.629261 1.034949 -8.012508 22.750839 37.521191 1.000000 0.000000 0.000000 50.000000 0.000000
1.638810 0.954824 -7.932288 23.126051 38.296118 1.000000 0.000000 0.000000 50.000000 0.000000
1.647565 0.875501 -7.819812 23.509012 39.206594 1.000000 0.000000 0.000000 50.000000 0.000000
1.655538 0.797303 -7.674072 23.901078 40.262896 1.000000 0.000000 0.000000 50.000000 0.000000
1.662743 0.720562 -7.494060 24.303707 41.475613 1.000000 0.000000 0.000000 50.000000 0.000000
1.669200 0.645621 -7.278768 24.718463 42.855644 1.000000 0.000000 0.000000 50.000000 0.000000
1.674928 0.572834 -7.027188 25.147019 44.414200 1.000000 0.000000 0.000000 50.000000 0.000000
1.679954 0.502562 -6.738312 25.591161 46.162805 1.000000 0.000000 0.000000 50.000000 0.000000
1.684305 0.435179 -6.411132 26.052789 48.113291 1.000000 0.000000 0.000000 50.000000 0.000000
1.688016 0.371067 -6.044640 26.533922 50.277805 1.000000 0.000000 0.000000 50.000000 0.000000
1.691122 0.310621 -5.637828 27.036700 52.668803 1.000000 0.000000 0.000000 50.000000 0.000000
1.693665 0.254243 -5.189688 27.563388 55.299053 1.000000 0.000000 0.000000 50.000000 0.000000
1.695688 0.202346 -4.699212 28.116379 58.181636 1.000000 0.000000 0.000000 50.000000 0.000000
1.697242 0.155354 -4.165392 28.698195 61.329942 1.000000 0.000000 0.000000 50.000000 0.000000
1.698379 0.113700 -3.587220 29.311495 64.757673 1.000000 0.000000 0.000000 50.000000 0.000000
1.699157 0.077827 -2.963688 29.959072 68.478844 1.000000 0.000000 0.000000 50.000000 0.000000
1.699639 0.048191 -2.293788 30.643860 72.507781 1.000000 0.000000 0.000000 50.000000 0.000000
1.699891 0.025253 -1.576512 31.368938 76.859119 1.000000 0.000000 0.000000 50.000000 0.000000
1.699986 0.009488 -0.810852 32.137529 81.127807 1.000000 0.000000 0.000000 50.000000 0.000000
1.700000 0.001379 0.000000 32.948807 81.127807 1.000000 0.000000 0.000000 50.000000 0.000000
